Filename,Rows,Columns,Photometric,BitsAllocated,BitsStored,PixelRepresentation,Modality,RescaleSlope,RescaleIntercept,PixelDataType,PixelMin,PixelMax
ISIC_0015719.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0052212.dcm,1053,1872,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,16,245
ISIC_0068279.dcm,1053,1872,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,253
ISIC_0074268.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0074311.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0074542.dcm,3456,5184,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,7,255
ISIC_0075663.dcm,1936,2592,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,219
ISIC_0075914.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0076262.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,36,255
ISIC_0076545.dcm,2848,4288,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,8,255
ISIC_0076742.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0076995.dcm,1053,1872,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,21,245
ISIC_0077472.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0077735.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0078703.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0078712.dcm,2448,3264,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,2,254
ISIC_0079038.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0080512.dcm,4000,6000,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,0,255
ISIC_0080752.dcm,3456,5184,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,1,255
ISIC_0080817.dcm,2848,4288,YBR_FULL_422,8,8,0,XC,N/A,N/A,uint8,7,255
